id,query,reference_answer,category,difficulty
q001,What is achalasia?,Achalasia is a rare disorder of the esophagus (the tube that carries food from the throat to the stomach) that makes it difficult to swallow food and liquids. It's caused by nerve damage that prevents the esophagus from squeezing food down and stops the lower esophageal sphincter muscle from relaxing.,disease,medium
q002,Can I take ibuprofen with warfarin?,"No, you should not take ibuprofen with warfarin unless specifically directed by your doctor. NSAIDs like ibuprofen can significantly increase your risk of bleeding when combined with warfarin. Always consult your doctor for safe pain management alternatives.",drug_interaction,high
q003,What are the side effects of aspirin?,"Common side effects of aspirin include stomach upset, heartburn, and indigestion. More serious side effects can include stomach bleeding, ulcers, and allergic reactions. In rare cases, it can cause Reye's syndrome in children.",side_effects,medium
q004,What is pneumonia?,"Pneumonia is an infection that inflames the air sacs (alveoli) in one or both lungs. The air sacs may fill with fluid or pus, causing symptoms like a cough with phlegm, fever, chills, and difficulty breathing.",disease,medium
q005,What are the symptoms of a heart attack?,"Symptoms include chest pain or discomfort (pressure, squeezing, or aching), pain radiating to the arm, neck, jaw, or back, shortness of breath, cold sweats, nausea, and lightheadedness. Women may experience atypical symptoms like fatigue or jaw pain.",symptom,medium
q006,What is the function of the liver?,"The liver is a vital organ that filters toxins from the blood, produces bile to help digest fat, stores glucose (sugar) for energy, and makes proteins essential for blood clotting.",anatomy,easy
q007,How do you perform CPR?,"For an adult, place the heel of one hand on the center of the chest, place your other hand on top, and push hard and fast at a rate of 100-120 compressions per minute. If trained, you can give 2 rescue breaths after every 30 compressions. Continue until help arrives.",first_aid,medium
q008,What is Type 2 Diabetes?,Type 2 Diabetes is a chronic condition where the body either doesn't produce enough insulin or becomes resistant to it. This leads to high levels of sugar (glucose) in the blood.,disease,medium
q009,What is an MRI scan used for?,"An MRI (Magnetic Resonance Imaging) scan uses strong magnetic fields and radio waves to create detailed images of the organs and tissues within the body. It is especially useful for imaging the brain, spine, joints, and soft tissues.",diagnosis,medium
q010,Can I drink alcohol while taking antibiotics?,"It's generally best to avoid alcohol. While it doesn't make most antibiotics ineffective, it can increase side effects like dizziness and stomach upset. For some antibiotics, like metronidazole, alcohol can cause a severe reaction (nausea, vomiting, flushing).",drug_interaction,medium
q011,What is hypertension?,"Hypertension is the medical term for high blood pressure. It's a condition where the long-term force of the blood against your artery walls is high enough that it may eventually cause health problems, such as heart disease.",disease,easy
q012,What is an 'antihistamine'?,"An antihistamine is a type of medication used to treat allergy symptoms like sneezing, runny nose, and itchy eyes. It works by blocking histamine, a substance your body releases during an allergic reaction.",treatment,easy
q013,What are the common side effects of statins?,"The most common side effects of statins (cholesterol-lowering drugs) are muscle pain, headache, nausea, and digestive issues. In rare cases, they can cause liver problems or more severe muscle damage.",side_effects,medium
q014,What is glaucoma?,"Glaucoma is a group of eye conditions that damage the optic nerve, which is vital for vision. This damage is often caused by abnormally high pressure in your eye (intraocular pressure).",disease,medium
q015,What is the purpose of a vaccine?,A vaccine helps your immune system produce antibodies (protection) against a specific disease without you having to get the disease itself. It 'trains' your body to fight off the infection if you are exposed to it in the future.,vaccination,easy
q016,What does a 'CBC' blood test measure?,"A CBC (Complete Blood Count) is a common blood test that measures the levels of your red blood cells (which carry oxygen), white blood cells (which fight infection), and platelets (which help blood clot).",lab_test,medium
q017,What is the 'grapefruit effect' with medications?,Grapefruit and grapefruit juice can interfere with enzymes in your gut that break down certain medications (like some statins and blood pressure drugs). This can lead to dangerously high levels of the drug in your bloodstream.,drug_interaction,high
q018,What is cognitive behavioral therapy (CBT)?,Cognitive Behavioral Therapy (CBT) is a type of talk therapy that helps you become aware of inaccurate or negative thinking patterns. It teaches you to challenge these thoughts and respond to situations in a more effective and positive way.,mental_health,medium
q019,What is an 'autoimmune disease'?,"An autoimmune disease is a condition in which your body's immune system mistakenly attacks its own healthy tissues. Examples include rheumatoid arthritis, lupus, and type 1 diabetes.",disease,medium
q020,What is the RICE method for injuries?,"RICE is a first-aid acronym for treating minor sprains and strains. It stands for Rest (avoid using the injured area), Ice (apply a cold pack for 15-20 minutes), Compression (use an elastic bandage), and Elevation (raise the injured part above heart level).",first_aid,easy
q021,What are the symptoms of dehydration?,"Symptoms include feeling very thirsty, having a dry mouth, urinating less often, dark-colored urine, fatigue, dizziness, and confusion. In infants, look for a sunken soft spot or no tears when crying.",symptom,easy
q022,What is an 'NSAID'?,"NSAID stands for Nonsteroidal Anti-Inflammatory Drug. These are medications used to reduce pain, fever, and inflammation. Common examples include ibuprofen (Advil) and naproxen (Aleve).",treatment,medium
q023,What is sepsis?,"Sepsis is a life-threatening medical emergency. It's the body's extreme response to an infection, which triggers a chain reaction that can lead to tissue damage, organ failure, and death.",disease,high
q024,What is the function of the kidneys?,"The kidneys are two bean-shaped organs that filter waste and excess water from your blood to produce urine. They also help control blood pressure, make red blood cells, and keep your bones healthy.",anatomy,easy
q025,What is a 'placebo'?,"A placebo is a substance or treatment with no active therapeutic effect, such as a sugar pill. In clinical trials, a placebo is often given to a control group to compare its effects against those of a real drug.",treatment,medium
q026,What is the difference between a psychiatrist and a psychologist?,"A psychiatrist is a medical doctor (M.D.) who can diagnose mental illness, provide therapy, and prescribe medication. A psychologist typically has a doctoral degree (Ph.D. or Psy.D.) and specializes in talk therapy (psychotherapy) but usually cannot prescribe medication.",mental_health,medium
q027,What is serotonin syndrome?,"Serotonin syndrome is a potentially life-threatening condition caused by too much serotonin in the body. It often occurs when mixing medications that increase serotonin, like antidepressants (SSRIs) and some migraine drugs. Symptoms include agitation, fever, and rapid heart rate.",side_effects,high
q028,What is a 'biopsy'?,"A biopsy is a medical procedure that involves taking a small sample of tissue or cells from the body for examination under a microscope. It is used to diagnose diseases, especially cancer.",medical_procedure,medium
q029,What is 'good' vs. 'bad' cholesterol?,"LDL (Low-Density Lipoprotein) is 'bad' cholesterol because it builds up in arteries, forming plaque. HDL (High-Density Lipoprotein) is 'good' cholesterol because it helps remove LDL from the bloodstream, carrying it back to the liver.",anatomy,medium
q030,What is Parkinson's disease?,"Parkinson's disease is a progressive brain disorder that affects the nervous system, causing unintended or uncontrollable movements. Symptoms include tremors, stiffness, and difficulty with balance and coordination.",disease,medium
q031,What is an 'EpiPen' used for?,An EpiPen is an auto-injector that delivers a dose of epinephrine (adrenaline). It is used as an emergency treatment for severe allergic reactions (anaphylaxis) to things like bee stings or food allergies.,treatment,medium
q032,What are the signs of a stroke?,"Use the acronym F.A.S.T: Face (is one side drooping?), Arms (can they raise both arms?), Speech (is speech slurred?), Time (call 911 immediately). Other signs include sudden confusion, severe headache, or trouble seeing.",symptom,easy
q033,What is an 'A1C' test?,The A1C (or HbA1c) test is a blood test that measures your average blood sugar levels over the past 2 to 3 months. It is commonly used to diagnose and monitor diabetes.,lab_test,medium
q034,Why shouldn't you take antacids with some medications?,"Antacids can change the acidity of your stomach, which can interfere with the absorption of other drugs, making them less effective. It's best to space out antacids and other medications by at least 2 hours.",drug_interaction,medium
q035,What is 'herd immunity'?,"Herd immunity (or community immunity) occurs when a large portion of a community becomes immune to a disease (through vaccination or prior illness), making the spread of disease from person to person unlikely. This protects the entire community, including those who cannot be vaccinated.",public_health,medium
q036,What is GERD (Gastroesophageal Reflux Disease)?,"GERD is a chronic digestive disorder where stomach acid frequently flows back into the esophagus (the tube connecting your mouth and stomach). This backwash (acid reflux) can irritate the lining of your esophagus, causing symptoms like heartburn.",disease,medium
